"pitch","midi","channel","on_tick","off_tick"
"g",55,4,0,384
"ais",58,3,0,384
"d'",62,2,0,384
"g'",67,1,0,384
"c",48,4,384,576
"ais",58,3,384,768
"dis'",63,2,384,576
"g'",67,1,384,768
"d",50,4,576,768
"d'",62,2,576,768
"dis",51,4,768,1152
"a",57,3,768,960
"c'",60,2,768,1152
"g'",67,1,768,1152
"g",55,3,960,1152
"d",50,4,1152,1536
"a",57,3,1152,1536
"d'",62,2,1152,1536
"fis'",66,1,1152,1536
"c",48,4,1536,1920
"fis",54,3,1536,1920
"a",57,2,1536,1920
"d'",62,1,1536,1920
"ais,",46,4,1920,2304
"g",55,3,1920,2304
"d'",62,2,1920,2112
"g'",67,1,1920,2304
"e'",64,2,2112,2304
"a,",45,4,2304,2688
"c'",60,3,2304,2688
"fis'",66,2,2304,2688
"a'",69,1,2304,2688
"g,",43,4,2688,3072
"d'",62,3,2688,3072
"g'",67,2,2688,3072
"ais'",70,1,2688,3072
"g",55,4,3072,3456
"d'",62,3,3072,3456
"g'",67,2,3072,3456
"ais'",70,1,3072,3456
"fis",54,4,3456,3840
"dis'",63,3,3456,3840
"a'",69,2,3456,3840
"c''",72,1,3456,3840
"g",55,4,3840,4224
"d'",62,3,3840,4224
"g'",67,2,3840,4224
"ais'",70,1,3840,4224
"d",50,4,4224,4608
"d'",62,3,4224,4608
"fis'",66,2,4224,4608
"a'",69,1,4224,4608
"d",50,4,4608,4992
"d'",62,3,4608,4992
"fis'",66,2,4608,4992
"a'",69,1,4608,4992
"g",55,4,4992,5376
"d'",62,3,4992,5376
"g'",67,2,4992,5376
"ais'",70,1,4992,5376
"c'",60,4,5376,5760
"dis'",63,3,5376,5760
"a'",69,2,5376,5760
"c''",72,1,5376,5760
"ais",58,4,5760,6144
"f'",65,3,5760,5952
"ais'",70,2,5760,6144
"d''",74,1,5760,5952
"dis'",63,3,5952,6144
"c''",72,1,5952,6144
"gis",56,4,6144,6528
"d'",62,3,6144,6336
"f'",65,2,6144,6528
"ais'",70,1,6144,6528
"c'",60,3,6336,6528
"g",55,4,6528,6912
"ais",58,3,6528,6912
"g'",67,2,6528,6720
"dis''",75,1,6528,6912
"a'",69,2,6720,6912
"fis",54,4,6912,7296
"ais",58,3,6912,7104
"ais'",70,2,6912,7296
"dis''",75,1,6912,7296
"c'",60,3,7104,7296
"f",53,4,7296,7680
"d'",62,3,7296,7488
"ais'",70,2,7296,7680
"d''",74,1,7296,7680
"ais",58,3,7488,7680
"e",52,4,7680,8064
"g'",67,3,7680,8064
"ais'",70,2,7680,8064
"cis''",73,1,7680,7872
"c''",72,1,7872,8064
"f",53,4,8064,8832
"f'",65,3,8064,8640
"ais'",70,2,8064,8448
"c''",72,1,8064,8832
"a'",69,2,8448,8832
"dis'",63,3,8640,8832
"ais,",46,4,8832,9216
"d'",62,3,8832,9216
"f'",65,2,8832,9216
"ais'",70,1,8832,9216
"g,",43,4,9216,9600
"d'",62,3,9216,9600
"g'",67,2,9216,9408
"ais'",70,1,9216,9600
"f'",65,2,9408,9600
"c",48,4,9600,9984
"c'",60,3,9600,9984
"dis'",63,2,9600,9792
"a'",69,1,9600,9984
"d'",62,2,9792,9984
"cis",49,4,9984,10368
"ais",58,3,9984,10368
"e'",64,2,9984,10368
"g'",67,1,9984,10368
"d",50,4,10368,10752
"a",57,3,10368,10752
"d'",62,2,10368,10752
"f'",65,1,10368,10752
"d",50,4,10752,10944
"f",53,3,10752,11136
"a",57,2,10752,11136
"d'",62,1,10752,10944
"c",48,4,10944,11136
"dis'",63,1,10944,11136
"ais,",46,4,11136,11328
"ais",58,3,11136,11520
"d'",62,2,11136,11328
"f'",65,1,11136,11520
"c",48,4,11328,11520
"dis'",63,2,11328,11520
"d",50,4,11520,11712
"ais",58,3,11520,11904
"f'",65,2,11520,11904
"f'",65,1,11520,11904
"ais,",46,4,11712,11904
"dis",51,4,11904,12288
"ais",58,3,11904,12288
"f'",65,2,11904,12096
"g'",67,1,11904,12288
"dis'",63,2,12096,12288
"f",53,4,12288,12672
"a",57,3,12288,12672
"dis'",63,2,12288,12480
"f'",65,1,12288,12672
"d'",62,2,12480,12672
"g",55,4,12672,13056
"ais",58,3,12672,13056
"d'",62,2,12672,12864
"dis'",63,1,12672,13440
"c'",60,2,12864,12960
"ais",58,2,12960,13056
"a",57,4,13056,13440
"f",53,3,13056,13440
"c'",60,2,13056,13440
"ais",58,4,13440,13824
"f",53,3,13440,13824
"ais",58,2,13440,13824
"d'",62,1,13440,13824
"ais",58,4,13824,14208
"f'",65,3,13824,14208
"ais'",70,2,13824,14208
"d''",74,1,13824,14208
"fis",54,4,14208,14592
"dis'",63,3,14208,14592
"a'",69,2,14208,14592
"c''",72,1,14208,14592
"g",55,4,14592,14976
"d'",62,3,14592,14976
"g'",67,2,14592,14976
"ais'",70,1,14592,14784
"a'",69,1,14784,14976
"cis",49,4,14976,15360
"e'",64,3,14976,15360
"g'",67,2,14976,15360
"a'",69,1,14976,15744
"d",50,4,15360,15744
"d'",62,3,15360,15552
"fis'",66,2,15360,15744
"c'",60,3,15552,15744
"g,",43,4,15744,16896
"b",59,3,15744,16896
"d'",62,2,15744,16896
"g'",67,1,15744,16896
